file,Roi group,Roi tags,Roi name,16O mean,16O stddev,16O median,12C21H mean,12C21H stddev,12C21H median,12C15N mean,12C15N stddev,12C15N median,31P mean,31P stddev,31P median,32S mean,32S stddev,32S median,31P/32S mean,31P/32S stddev,31P/32S median
vb_fib_1_2023-01-24_hO1c12-5028-interleaved.nrrd,nuclei,airway,102,1303.9097127222983,193.66990007020974,1331.0,4238.088919288646,460.3245329592731,4285.0,90.21887824897401,15.206207252761075,91.0,19.041039671682626,7.795746013301322,18.0,177.17920656634746,35.501640400838134,181.0,1178.5713884011827,755.8297726516396,1052.631591796875
vb_fib_1_2023-01-24_hO1c12-5028-interleaved.nrrd,nuclei,airway,103,1342.240506329114,130.80411818951177,1323.0,4575.717299578059,263.03591024955585,4563.0,84.67510548523207,10.98187704355875,84.0,21.88185654008439,6.95222558656224,21.0,194.84810126582278,19.17101135736657,194.0,1154.2080324068352,631.8564640124903,1086.95654296875
vb_fib_1_2023-01-24_hO1c12-5028-interleaved.nrrd,nuclei,airway,104,1360.921921921922,140.08583825006295,1348.0,4654.2342342342345,337.3870704850902,4635.0,77.7957957957958,17.17627550148033,82.0,19.5015015015015,7.064515358945357,19.0,179.51351351351352,39.92776569583394,187.0,1094.5874329529724,622.1316303557794,1052.631591796875
vb_fib_1_2023-01-24_hO1c12-5028-interleaved.nrrd,nuclei,airway,105,1513.96,331.3807041520936,1558.0,4332.764,789.1606976598136,4446.0,93.588,16.77545587096562,96.0,40.832,16.32045357271902,41.0,201.796,43.49484556084141,207.0,2047.4371931152343,1083.6627809562451,1958.653076171875
vb_fib_1_2023-01-24_hO1c12-5028-interleaved.nrrd,nuclei,airway,106,1201.9,178.99463904843856,1196.0,4022.75,321.1327921624016,4026.0,97.73,14.088361125124496,99.0,27.53,7.518939050454156,27.0,185.53,33.58103571356845,182.0,1497.2508688354492,713.6811577583325,1387.32958984375
vb_fib_1_2023-01-24_hO1c12-5028-interleaved.nrrd,nuclei,airway,107,1322.8030095759234,140.08267438253355,1314.0,4255.778385772914,335.26839810077826,4198.0,67.72093023255815,12.843796528693076,69.0,20.596443228454174,9.284539421185814,20.0,126.68399452804377,24.430051187179064,126.0,1747.1912120605134,1186.6254618119278,1562.5
vb_fib_1_2023-01-24_hO1c12-5028-interleaved.nrrd,nuclei,airway,108,1384.301310043668,115.38878777948948,1369.0,4507.983988355168,313.5527278693844,4495.0,79.86171761280931,10.953909746591295,79.0,27.283842794759824,9.02439604554855,27.0,200.58078602620088,23.127648894874415,200.0,1475.964590258647,862.3253726322044,1333.3333740234375
vb_fib_1_2023-01-24_hO1c12-5028-interleaved.nrrd,nuclei,airway,109,1345.8753056234718,94.88587883051001,1342.0,4383.268948655256,253.57002173109046,4376.0,67.119804400978,8.746305884675765,67.0,26.882640586797066,9.77145286277466,26.0,156.5085574572127,17.91101507185358,156.0,1848.150354175521,1085.3414386696218,1621.62158203125
vb_fib_1_2023-01-24_hO1c12-5028-interleaved.nrrd,nuclei,airway,110,1333.4131185270426,144.7522541488118,1305.0,4342.288837744534,352.07301573981334,4301.0,68.2174913693901,10.980391725948696,68.0,30.103567318757193,11.94499099372708,29.0,162.69505178365938,24.354859958487665,162.0,2040.3084803011668,1217.6823609244811,1818.181884765625
vb_fib_1_2023-01-24_hO1c12-5028-interleaved.nrrd,nuclei,airway,111,1110.6992263056093,100.65868959161503,1098.0,3797.4564796905224,235.70561516418832,3795.0,58.72727272727273,11.440620337920848,60.0,19.386847195357834,6.772707395246254,19.0,142.73694390715667,27.588078586582725,147.0,1424.78152222329,899.571429641681,1282.0513916015625
vb_fib_1_2023-01-24_hO1c12-5028-interleaved.nrrd,nuclei,airway,112,1280.5127450980392,95.53594925427461,1271.0,4585.481372549019,277.5765207532551,4572.0,77.47745098039216,11.723695060893284,78.0,17.45294117647059,7.672052769385909,16.0,175.02450980392157,26.32443439425677,176.0,1056.6623783335967,698.2049436178213,952.3809814453125
vb_fib_1_2023-01-24_hO1c12-5028-interleaved.nrrd,nuclei,airway,113,1386.8284023668639,110.63868518188889,1386.0,4652.536982248521,267.7975024790015,4644.0,97.57692307692308,14.873640616378532,97.0,23.958579881656803,11.148880710250122,22.0,242.8801775147929,34.86510075894525,242.0,1088.6028449380185,736.6924934638745,937.5
vb_fib_1_2023-01-24_hO1c12-5028-interleaved.nrrd,nuclei,airway,114,1433.7608695652175,110.54652251479577,1425.0,4706.891304347826,286.2944909429304,4685.0,78.67391304347827,11.890106936881836,79.0,29.717391304347824,9.314449280972388,29.0,186.46376811594203,29.697540860194426,190.0,1699.088691158571,824.592571449395,1550.480712890625
vb_fib_1_2023-01-24_hO1c12-5028-interleaved.nrrd,nuclei,AT2,115,1359.639240506329,122.5487123544707,1343.0,4599.791139240507,293.0815164528754,4565.0,84.4873417721519,11.610196581342805,86.0,21.860759493670887,8.57420891213628,21.0,201.03481012658227,26.550737118790792,202.0,1158.2017814539656,728.5053306885254,1076.2548828125
vb_fib_1_2023-01-24_hO1c12-5028-interleaved.nrrd,lamella,null,116,1683.125,82.86605658128866,1713.0,4972.4375,326.7986064331772,5002.0,64.8125,20.81736054354634,62.0,19.5625,4.32001157405857,19.0,114.5,49.58897726981942,124.0,2265.870460510254,1228.6759468431883,2034.4827880859375
vb_fib_1_2023-01-24_hO1c12-5028-interleaved.nrrd,lamella,null,117,1529.3636363636363,141.57985218757133,1553.0,4837.727272727273,280.4635772820032,4947.0,61.72727272727273,19.524809392621016,59.0,10.818181818181818,3.4876405152533088,10.0,131.45454545454547,41.79560655466944,125.0,1407.3375521573153,446.12400781593607,1379.310302734375
vb_fib_1_2023-01-24_hO1c12-5028-interleaved.nrrd,lamella,null,118,1539.56,73.00917750529723,1549.0,4539.68,248.19795862711413,4535.0,83.24,7.790378681424928,82.0,21.4,4.69041575982343,21.0,191.56,23.26492352591486,191.0,1214.57931640625,633.9743585199436,1153.84619140625
vb_fib_1_2023-01-24_hO1c12-5028-interleaved.nrrd,nuclei,airway,119,1367.4579831932774,115.67445005667987,1367.0,4426.264705882353,352.3887520746536,4438.0,110.09243697478992,19.23845112349308,111.0,26.449579831932773,13.494942787406403,25.0,201.08403361344537,30.05510546067057,202.0,1487.3247334456244,1073.1232941462124,1176.4705810546875
vb_fib_1_2023-01-24_hO1c12-5028-interleaved.nrrd,nuclei,airway,120,1326.5028462998102,140.03641396161638,1325.0,4325.65275142315,375.7573883912706,4338.0,109.14990512333966,14.081859909404423,109.0,22.92979127134725,11.086113181347983,21.0,208.73055028462997,30.659473323093188,208.0,1210.4598271987018,857.0206645808344,1000.0
